Aktuellt_date,Uppdaterad,Bekr_fall,Nya_fall,Antal_testade,Sjalvtest,Avlidna,Nya_avlidna,Inlagda_totalt,Iva_totalt,Iva_utomregion,Inlagda_CSK,Iva_CSK,Inlagda_Arvika,Iva_Arvika,Inlagda_Torsby,Iva_Torsby
2020-03-03,2020-03-03 00:00,0.0,0.0,0.0,0.0,,,,,,,,,,,
2020-03-04,2020-03-04 00:00,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-05,2020-03-05 00:00,5.0,3.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-06,2020-03-06 00:00,13.0,8.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-07,2020-03-07 00:00,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-08,2020-03-08 00:00,20.0,7.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-09,2020-03-09 00:00,21.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-10,2020-03-10 00:00,22.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-11,2020-03-11 00:00,24.0,2.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-12,2020-03-12 00:00,27.0,3.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-13,2020-03-13 00:00,30.0,3.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-14,2020-03-14 00:00,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-15,2020-03-15 00:00,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-16,2020-03-16 00:00,31.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-17,2020-03-17 00:00,34.0,3.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-18,2020-03-18 00:00,35.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-19,2020-03-19 00:00,36.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-20,2020-03-20 00:00,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-21,2020-03-21 00:00,37.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-03-22,2020-03-22 00:00,39.0,2.0,457.0,,0.0,0.0,5.0,1.0,,3.0,1.0,2.0,0.0,0.0,
2020-03-23,2020-03-23 00:00,40.0,1.0,478.0,,0.0,0.0,5.0,2.0,,3.0,2.0,2.0,0.0,0.0,
2020-03-24,2020-03-24 00:00,42.0,2.0,517.0,,1.0,1.0,4.0,2.0,,1.0,1.0,2.0,0.0,1.0,1.0
2020-03-25,2020-03-25 00:00,45.0,3.0,549.0,,1.0,0.0,4.0,2.0,,1.0,1.0,1.0,0.0,2.0,1.0
2020-03-26,2020-03-26 00:00,45.0,0.0,599.0,,1.0,0.0,3.0,2.0,,1.0,1.0,0.0,,2.0,1.0
2020-03-27,2020-03-27 00:00,45.0,0.0,638.0,,1.0,0.0,3.0,2.0,,1.0,1.0,0.0,,2.0,1.0
2020-03-28,2020-03-28 00:00,46.0,1.0,659.0,,1.0,0.0,4.0,2.0,,2.0,1.0,0.0,,2.0,1.0
2020-03-29,2020-03-29 00:00,48.0,2.0,702.0,,1.0,0.0,5.0,2.0,,3.0,1.0,0.0,,2.0,1.0
2020-03-30,2020-03-30 00:00,49.0,1.0,725.0,,1.0,0.0,6.0,2.0,,4.0,1.0,0.0,,2.0,1.0
2020-03-31,2020-03-31 00:00,50.0,1.0,754.0,,1.0,0.0,6.0,1.0,,4.0,0.0,0.0,,2.0,1.0
2020-04-01,2020-04-01 00:00,50.0,0.0,806.0,,1.0,0.0,5.0,1.0,,3.0,0.0,0.0,,2.0,1.0
2020-04-02,2020-04-02 00:00,52.0,2.0,844.0,,1.0,0.0,5.0,1.0,,3.0,0.0,0.0,,2.0,1.0
2020-04-03,2020-04-03 00:00,52.0,0.0,886.0,,1.0,0.0,4.0,1.0,,2.0,0.0,0.0,,2.0,1.0
2020-04-04,2020-04-04 00:00,53.0,1.0,943.0,,1.0,0.0,5.0,2.0,,3.0,1.0,0.0,,2.0,1.0
2020-04-05,2020-04-05 00:00,55.0,2.0,981.0,,1.0,0.0,5.0,2.0,,3.0,1.0,0.0,,2.0,1.0
2020-04-06,2020-04-06 00:00,56.0,1.0,1016.0,,1.0,0.0,5.0,2.0,,3.0,1.0,0.0,,2.0,1.0
2020-04-07,2020-04-07 00:00,58.0,2.0,1052.0,,1.0,0.0,5.0,2.0,,3.0,1.0,0.0,,2.0,1.0
2020-04-08,2020-04-08 11:57,65.0,7.0,1129.0,,1.0,0.0,10.0,4.0,2.0,7.0,3.0,0.0,,3.0,1.0
2020-04-09,2020-04-09 09:56,66.0,1.0,1212.0,,1.0,0.0,11.0,5.0,3.0,9.0,4.0,0.0,,2.0,1.0
2020-04-10,2020-04-10 10.08,70.0,4.0,1274.0,,1.0,0.0,11.0,7.0,5.0,8.0,5.0,2.0,,3.0,2.0
2020-04-11,2020-04-11 00:00,73.0,3.0,1404.0,,1.0,0.0,16.0,8.0,6.0,14.0,6.0,0.0,,2.0,2.0
2020-04-12,2020-04-12 00:00,75.0,2.0,1433.0,,1.0,0.0,18.0,9.0,7.0,16.0,7.0,0.0,,2.0,2.0
2020-04-13,2020-04-13 10:19,79.0,4.0,1465.0,,1.0,0.0,22.0,8.0,6.0,20.0,6.0,0.0,,2.0,2.0
2020-04-14,2020-04-14 10:03,82.0,3.0,1500.0,,1.0,0.0,22.0,9.0,6.0,21.0,8.0,0.0,,1.0,1.0
2020-04-15,2020-04-15 10:26,84.0,2.0,1541.0,,3.0,2.0,20.0,9.0,6.0,19.0,8.0,0.0,,1.0,1.0
2020-04-16,2020-04-16 09:59,87.0,3.0,1603.0,,3.0,0.0,20.0,8.0,5.0,19.0,7.0,0.0,,1.0,1.0
2020-04-17,2020-04-17 09:31,94.0,7.0,1666.0,,3.0,0.0,23.0,7.0,5.0,21.0,6.0,0.0,,2.0,1.0
2020-04-18,2020-04-18 11:16,97.0,3.0,1666.0,,3.0,0.0,21.0,8.0,5.0,19.0,7.0,0.0,,2.0,1.0
2020-04-19,2020-04-19 10:26,101.0,4.0,1666.0,,3.0,0.0,22.0,8.0,5.0,19.0,7.0,0.0,,3.0,1.0
2020-04-20,2020-04-20 10:18,105.0,4.0,1753.0,,3.0,0.0,27.0,8.0,5.0,23.0,7.0,0.0,,4.0,1.0
2020-04-21,2020-04-21 09:44,111.0,6.0,1807.0,,4.0,1.0,27.0,8.0,5.0,23.0,7.0,0.0,,4.0,1.0
2020-04-22,2020-04-22 09:51,118.0,7.0,1897.0,,5.0,1.0,26.0,8.0,5.0,22.0,7.0,0.0,,4.0,1.0
2020-04-23,2020-04-23 09:51,123.0,5.0,1957.0,,5.0,0.0,26.0,9.0,6.0,21.0,7.0,0.0,,5.0,2.0
2020-04-24,2020-04-24 10:34,126.0,3.0,2028.0,,5.0,0.0,24.0,8.0,5.0,21.0,7.0,0.0,,3.0,1.0
2020-04-25,2020-04-25 10:40:00,130.0,4.0,2113.0,,5.0,0.0,27.0,8.0,5.0,25.0,7.0,0.0,,2.0,1.0
2020-04-26,2020-04-26 10:47:00,135.0,5.0,2203.0,,5.0,0.0,28.0,9.0,5.0,26.0,8.0,0.0,0.0,2.0,1.0
2020-04-27,2020-04-27 10:54:00,137.0,2.0,2248.0,,8.0,3.0,27.0,8.0,5.0,24.0,7.0,0.0,0.0,3.0,1.0
2020-04-28,2020-04-28 10:57:00,145.0,8.0,2297.0,,8.0,0.0,32.0,8.0,4.0,27.0,7.0,0.0,0.0,5.0,1.0
2020-04-29,2020-04-29 09:42:00,162.0,17.0,2392.0,,8.0,0.0,36.0,8.0,4.0,31.0,7.0,0.0,0.0,5.0,1.0
2020-04-30,2020-04-30 09:09:00,176.0,14.0,2482.0,,10.0,2.0,38.0,10.0,4.0,34.0,8.0,0.0,0.0,4.0,2.0
2020-05-01,2020-05-01 11:54:00,185.0,9.0,2567.0,,10.0,0.0,32.0,8.0,4.0,30.0,7.0,0.0,0.0,2.0,1.0
2020-05-02,2020-05-02 10:46:00,198.0,13.0,2654.0,,10.0,0.0,34.0,7.0,3.0,32.0,6.0,1.0,0.0,1.0,1.0
2020-05-03,2020-05-03 10:22:00,203.0,5.0,2698.0,,10.0,0.0,37.0,6.0,2.0,33.0,5.0,0.0,0.0,4.0,1.0
2020-05-04,2020-05-04 10:06:00,206.0,3.0,2751.0,,15.0,5.0,42.0,6.0,2.0,37.0,5.0,0.0,0.0,5.0,1.0
2020-05-05,2020-05-05 09:08:00,213.0,7.0,2802.0,,15.0,0.0,39.0,6.0,2.0,33.0,5.0,0.0,0.0,6.0,1.0
2020-05-06,2020-05-06 09:58:00,230.0,17.0,2920.0,,16.0,1.0,38.0,5.0,2.0,32.0,4.0,0.0,0.0,6.0,1.0
2020-05-07,2020-05-07 09:37:00,244.0,14.0,3059.0,,17.0,1.0,38.0,8.0,2.0,33.0,6.0,0.0,0.0,5.0,2.0
2020-05-08,2020-05-08 10:20:00,253.0,9.0,3173.0,,17.0,0.0,39.0,9.0,2.0,34.0,7.0,0.0,0.0,5.0,2.0
2020-05-09,2020-05-09 13:30:00,263.0,10.0,3273.0,,17.0,0.0,39.0,9.0,2.0,32.0,6.0,0.0,0.0,7.0,3.0
2020-05-10,2020-05-10 10:34:00,268.0,5.0,3369.0,,17.0,0.0,36.0,8.0,2.0,30.0,6.0,0.0,0.0,6.0,2.0
2020-05-11,2020-05-11 09:37:00,271.0,3.0,3421.0,,21.0,4.0,35.0,6.0,2.0,30.0,4.0,0.0,0.0,5.0,2.0
2020-05-12,2020-05-12 09:27:00,274.0,3.0,3466.0,,22.0,1.0,29.0,5.0,1.0,26.0,4.0,0.0,0.0,3.0,1.0
2020-05-13,2020-05-13 09:33:00,289.0,15.0,3573.0,,22.0,0.0,26.0,5.0,1.0,23.0,4.0,0.0,0.0,3.0,1.0
2020-05-14,2020-05-14 09:42:00,295.0,6.0,3667.0,,23.0,1.0,24.0,5.0,1.0,21.0,4.0,0.0,0.0,3.0,1.0
2020-05-15,2020-05-15 09:44:00,309.0,14.0,3787.0,,23.0,0.0,26.0,6.0,1.0,23.0,5.0,0.0,0.0,3.0,1.0
2020-05-16,2020-05-16 09:42:00,317.0,8.0,3806.0,,23.0,0.0,26.0,5.0,0.0,22.0,4.0,1.0,0.0,3.0,1.0
2020-05-17,2020-05-17 09:50:00,324.0,7.0,4009.0,,23.0,0.0,26.0,4.0,0.0,21.0,3.0,2.0,0.0,3.0,1.0
2020-05-18,2020-05-18 09:56:00,324.0,0.0,4065.0,,24.0,1.0,26.0,4.0,0.0,21.0,3.0,2.0,0.0,3.0,1.0
2020-05-19,2020-05-19 10:05:00,332.0,8.0,4134.0,,24.0,0.0,22.0,4.0,0.0,18.0,3.0,1.0,0.0,3.0,1.0
2020-05-20,2020-05-20 10:28:00,347.0,15.0,4255.0,,26.0,2.0,24.0,3.0,0.0,21.0,3.0,1.0,0.0,2.0,0.0
2020-05-21,2020-05-21 09:42:00,365.0,18.0,4380.0,,26.0,0.0,24.0,3.0,0.0,20.0,3.0,1.0,0.0,3.0,0.0
2020-05-22,2020-05-22 10:13:00,385.0,20.0,4529.0,,26.0,0.0,26.0,3.0,0.0,21.0,3.0,2.0,0.0,3.0,0.0
2020-05-23,2020-05-23 09:55:00,387.0,2.0,4580.0,,26.0,0.0,26.0,3.0,0.0,21.0,3.0,2.0,0.0,3.0,0.0
2020-05-24,2020-05-24 09:41:00,406.0,19.0,4683.0,,26.0,0.0,21.0,2.0,0.0,17.0,2.0,2.0,0.0,2.0,0.0
2020-05-25,2020-05-25 09:46:00,407.0,1.0,4725.0,,28.0,2.0,23.0,2.0,0.0,17.0,2.0,4.0,0.0,2.0,0.0
2020-05-26,2020-05-26 10:45:00,409.0,2.0,4731.0,,28.0,0.0,22.0,2.0,0.0,17.0,2.0,3.0,0.0,2.0,0.0
2020-05-27,2020-05-27 09:35:00,432.0,23.0,4871.0,,29.0,1.0,21.0,1.0,0.0,15.0,1.0,3.0,0.0,3.0,0.0
2020-05-28,2020-05-28 09:38:00,459.0,27.0,5005.0,,29.0,0.0,20.0,1.0,0.0,12.0,1.0,3.0,0.0,5.0,0.0
2020-05-29,2020-05-29 10:21:00,485.0,26.0,5141.0,,31.0,2.0,23.0,0.0,0.0,16.0,0.0,1.0,0.0,6.0,0.0
